#          p        sig_p         v          bv       sig_bv
#
       27.55         0.8         4.8       0.199       0.012
       33.32        0.76        6.03       0.496       0.004
       10.31        0.99        8.16       0.602       0.015
       13.24        0.53        5.77       0.051       0.004
       46.62        0.67         7.5        0.81       0.015
       21.09         0.8        6.25       0.448       0.004
       21.02        0.61        7.41       0.497       0.013
       13.42        0.86         7.6       0.566       0.004
       41.73        0.61        2.23       0.057       0.004
       13.55        0.64        8.25        0.51       0.015
       25.12        0.56        5.89       0.482       0.004
       14.71        0.78        5.98       0.114       0.005
       10.55        0.84        7.86       0.464       0.019
       11.77        0.55         5.6      -0.014       0.004
       17.07        0.69        5.09       0.022       0.015
       18.81        0.88        6.97       0.429         0.1
       13.54        0.72        4.96       0.052       0.004
       43.06        0.82        8.27       0.955       0.001
       77.82        0.65        4.82       0.541       0.008
       15.44        0.88        8.75        0.56       0.015
       19.14        0.49        6.19       0.437       0.004
       40.06         0.6        4.93       0.368        0.01
       41.07         0.6        2.34       0.033       0.003
       10.53        0.68        5.91       0.112       0.002
       38.92        0.67        6.82       0.603       0.002
       37.41        0.48        4.84       0.375       0.013
       27.03        0.49        5.24       0.534       0.003
       10.12        0.69        5.87       0.006       0.004
       34.46        0.54        6.46       0.526       0.005
        37.8        0.61        5.16       0.349       0.019
       24.38        0.82           7       0.651       0.012
       22.79        0.81        6.44       0.587       0.005
       12.63        0.77        6.18       0.131       0.006
       36.59        0.91        7.97       0.797       0.013
          50        0.54        7.04       0.804       0.009
       31.57        0.71        5.89       0.421       0.003
       13.91        0.88        6.37       0.523       0.006
       14.01        0.98        8.46       0.476       0.016
       22.23        0.48        6.29        0.59       0.004
       22.01        0.65        7.14       0.645       0.011
       16.13         0.7        8.07       0.594       0.015
       17.34        0.71        6.36       0.457       0.003
       34.58        0.96        8.66       1.019       0.023
       25.82        0.86        7.65       0.642       0.007
       12.12        0.59        6.45       0.094       0.006
       59.84        0.64         6.6       0.859       0.001
        22.1        0.81        8.01       0.662       0.003
       17.31        0.48        4.98       0.082       0.002
       18.32        0.95        7.76       0.451       0.014
       16.36        0.87        8.52       0.791       0.019
       22.19        0.72        8.07       0.585       0.011
       14.38        0.75        7.53       0.864       0.004
       12.96        0.76        7.09       0.508       0.004
       14.29        0.97        7.35       0.606       0.015
       59.31        0.67        6.76       0.839       0.003
       14.26        0.97        4.86       0.084       0.012
       10.89        0.88        7.23       0.508       0.003
       14.58        0.75         7.2        0.92           0
       14.23        0.87        7.22       0.294       0.011
        15.8        0.77        7.08       0.403       0.007
        27.1         0.8        6.03       0.448       0.003
       36.34        0.68        5.46       0.515       0.003
       53.85         0.6         4.8        0.54       0.008
       46.95        0.95        7.84       0.831           0
       23.47        0.57        6.24       0.409       0.007
       51.12        0.72        5.18       0.605       0.003
       98.97        0.56        6.49        1.04       0.006
       37.78        0.69        5.59       0.445       0.005
       12.47        0.63        5.83       0.569       0.003
       43.74        0.84        6.64       0.634       0.009
       24.27        0.79        8.23       0.622       0.012
       70.98        0.55        5.23       0.602       0.004
